name
Patty O’Furniture
Paddy O’Furniture
Olive Yew
Aida Bugg
Maureen Biologist
Teri Dactyl
Peg Legge
Allie Grater
Liz Erd
A. Mused
Constance Noring
Lois Di Nominator
Minnie Van Ryder
Lynn O’Leeum
P. Ann O’Recital
Ray O’Sun
Lee A. Sun
Ray Sin
Isabelle Ringing
Eileen Sideways
Rita Book
Paige Turner
Rhoda Report
Augusta Wind
Chris Anthemum
Anne Teak
U.R. Nice
Anita Bath
Harriet Upp
I.M. Tired
I. Missy Ewe
Ivana B. Withew
Anita Letterback
Hope Furaletter
B. Homesoon
Bea Mine
Bess Twishes
C. Yasoon
Audie Yose
Dee End
Amanda Hug
Ben Dover
Eileen Dover
Willie Makit
Willie Findit
Skye Blue
Staum Clowd
Addie Minstra
Anne Ortha
