A200.AX,AAA.AX,AGVT.AX,ASIA.AX,AUMF.AX,AUST.AX,BBOZ.AX,BBUS.AX,BEAR.AX,BNDS.AX,BNKS.AX,BOND.AX,CETF.AX,CRED.AX,DBBF.AX,DGGF.AX,DHHF.AX,DJRE.AX,DMKT.AX,DRUG.AX,DZZF.AX,EINC.AX,ESTX.AX,ETHI.AX,EX20.AX,F100.AX,FAIR.AX,FUEL.AX,GBND.AX,GDX.AX,GEAR.AX,GLIN.AX,GOVT.AX,HBRD.AX,HEUR.AX,HVST.AX,IEM.AX,IFRA.AX,IGB.AX,IHOO.AX,IHVV.AX,IJH.AX,IJP.AX,IJR.AX,IKO.AX,ILB.AX,ILC.AX,IMPQ.AX,INCM.AX,IOO.AX,IOZ.AX,ISO.AX,IVV.AX,IWLD.AX,IXI.AX,IXJ.AX,IZZ.AX,MNRS.AX,MOAT.AX,MVA.AX,MVB.AX,MVE.AX,MVOL.AX,MVR.AX,MVS.AX,MVW.AX,NDQ.AX,OOO.AX,OZF.AX,OZR.AX,POU.AX,QAG.AX,QAU.AX,QCB.AX,QFN.AX,QLTY.AX,QOZ.AX,QPON.AX,QRE.AX,QUAL.AX,QUS.AX,RARI.AX,RBTZ.AX,RCB.AX,RDV.AX,RENT.AX,RGB.AX,RINC.AX,ROBO.AX,RSM.AX,SFY.AX,SLF.AX,SMLL.AX,SPY.AX,STW.AX,SYI.AX,TECH.AX,UMAX.AX,USD.AX,VACF.AX,VAE.AX,VAF.AX,VAP.AX,VAS.AX,VBLD.AX,VBND.AX,VCF.AX,VDBA.AX,VDCO.AX,VDGR.AX,VDHG.AX,VEFI.AX,VEQ.AX,VESG.AX,VEU.AX,VGAD.AX,VGB.AX,VGE.AX,VGMF.AX,VGS.AX,VHY.AX,VIF.AX,VISM.AX,VLC.AX,VMIN.AX,VSO.AX,VTS.AX,VVLU.AX,WDIV.AX,WDMF.AX,WEMG.AX,WRLD.AX,WXHG.AX,WXOZ.AX,YANK.AX,YMAX.AX,ZUSD.AX,ZYAU.AX,ZYUS.AX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00555558,0,0,0.017980652,0,0.005959384,-0.014447822,0.010067104,-0.005877389,0.00749619,-0.018518535,0.005066998,-0.000826434,0.006593486,0,0.004354735,0.004412379,-0.007939847,0.003891047,0.001501536,0.003605842,0.00704225,0.006562041,0.008238921,0.006322489,-0.001857053,0.007717823,0.007005247,0.000805171,0.016646867,0.009273636,0,0,0.001966609,0,0.007488178,0.008850927,-0.007695763,0.006071945,0.00183923,-0.002289551,-0.003392374,0.009649325,0.004164562,-0.016764053,0.007180095,0.00076897,0,0,0.007881145,0.006199872,0.009900901,0.004298738,0.008659092,-0.002771843,0,0.000791753,0.001865625,0.007249138,0.002020171,0.00850732,0.014781723,0.005374545,0.009024079,0,0.008082767,0.009420668,0.028589629,0.005202934,0.011618206,0.005455559,0.003533566,0.009810309,0.00364086,0.005612762,0.005310695,0.007374589,0,0.007598813,0.005235597,-0.001542056,0.004346132,0.005859416,0.005836671,0.00472499,-0.006622484,0.002650237,0.003076891,0,0.000469585,0.004061738,0.007199383,0.005813948,0.011450728,0.003554731,0.007214012,0.010391179,0.006724274,0.005772,0.003220249,0.007450949,0.006217208,0.001452462,0.005431563,-0.000834032,0.001323,0.002789521,0.006007042,0.004871059,0.00316785,0.004718652,-0.003177554,0.005637576,0.002638595,0.005821382,-0.001324483,0.005725177,0.008664101,0.002941715,-0.001100548,0.006182144,0.001393001,0.005969636,0.013270387,0,0.011001992,0.004079194,-0.000193234,0.000974681,-0.000285725,0,0.008064491,-0.003711346,0,0.008136069,0.00847443,0,0.016903963,-0.006622528
0.001158415,0.000199705,0.013247748,-0.004076115,-0.00165377,-0.00592408,-0.004188478,0,-0.000844614,0.002976166,0.001451412,0.001800504,0.00694786,0.002911212,0.006012009,-0.000788351,-0.002396221,0.012215709,0,-0.008995493,0,0,-0.007511321,-0.001021474,0.000523572,0.00465118,0.000547059,-0.00173917,0,0.015204714,0.003445568,0.002865314,0.003942673,0,-0.010137606,-0.002027045,-0.004617563,-0.002280962,0.003608009,-0.00399106,-0.003479257,0.000953081,-0.004312386,-0.006137998,-0.008412787,0.00674142,4.82E-05,0,-0.005899735,0.000512766,0.001693769,-0.003865748,0.001247461,-0.002601417,0.007580524,0,0.012500014,0.013035414,0.001641476,0.008871017,-0.012653371,-0.008130073,0.011645003,0.006624672,0.005394831,-0.000320726,-0.000466646,0.022853547,-0.006728735,0.00246109,0.000542606,0.001760604,0.025906773,0,-0.008372107,-0.001584822,-0.002928255,0,0.009049765,0.000651057,-0.001286982,-0.001966925,-0.003883491,0.002417781,-0.006382284,0.013333268,0,0.008179973,-0.001114645,0.005164361,-0.000970834,0.005003621,-0.00289017,-0.005520949,0.002415005,-0.004433841,-0.00459776,-0.00286257,0.002869438,0.003776448,-0.002275577,0.002317029,0.005913277,0.001996455,0.002170255,0.005284935,0.003775024,-0.002458686,0.001436176,-0.000701736,0.001913308,0.004875327,-0.005605972,-0.002631651,-0.003344069,-0.002785134,0.00284622,-0.006234346,-0.010082479,0.000612162,-0.001992728,0.010498303,0.000719311,-0.010040753,-0.004313956,0.003013566,-0.002666098,-0.001546241,-0.000973732,2.16E-05,0.012293303,-0.004363667,-0.00124175,0.005229527,0,-0.004801889,0,-0.016622969,0.002222202
0.01441925,0.000199742,0.000990509,0.009549819,0.01508551,0.014898688,-0.034700307,-0.01661128,-0.015215579,0,0,0.001437856,0.002135717,0.002177071,0,0,0.013210566,0.0020807,0,0.003025716,0.002794417,0.006993003,0.011709263,0.008179952,0.012558857,0.009259206,0.014215326,0.010453035,0,-0.031566883,0.033193471,0.005714323,-0.000714078,-0.001962749,0.007315317,0.012186909,0.005876061,0.003200736,0.000444749,0,0.006561827,0.00873977,0.01217372,0.008429354,0.016628973,-0.001092695,0.016298023,0,0.005934748,0.01012163,0.014207628,0.00598797,0.009280381,0.010433008,0.005015693,0.006889568,0,-0.027573547,0.005924634,0.016386884,0.021359194,0.010245875,0.002014757,0,0.01121949,0.013795326,0.012605063,-0.02958936,0.014069752,0.009819957,0,-0.003514935,-0.010732328,0.009673509,0.019699816,0.014285739,0.013215881,0,0.007473799,0.006831522,0.010051531,0.015372463,0.021442427,-0.002894357,0.020960139,0.003289497,0,0.004056851,0.008448889,-0.002335303,0.014901169,0.015647177,0.011594192,0,0.014294959,0.016101415,0.011425823,0.004784707,0.002861296,-0.000752491,0.005702026,0,0.013864261,0.013947521,0.005997017,-0.003942917,-0.004156759,0.006514021,-0.001434117,0.009480326,0.006944502,-0.001119661,0.007958889,0.013016794,0.011743511,0.008378737,0,0.006134013,0.008148123,0.010277717,0.01331121,-0.005724458,0.007008136,0.019697195,0.001166531,0.00801201,0.00929264,0.00019357,0.008771944,0.008062159,0.005443931,0.008035107,0.008288469,0.010693722,0,0.014475292,0.000910768,0.017793578,0.008869172
-0.002807754,-0.000199702,0.002572685,0.0081081,-0.006605045,0,0.007625239,0.023648626,0.006866946,0.001854656,-0.010144952,0,0.013442618,0.001810215,0,0.007100604,-0.003160803,-0.000415292,0,-0.006033177,0,0,-0.002540583,0.003042666,-0.006201594,-0.003669721,-0.004851761,0.006896545,0,0.044016235,-0.005169845,0.002840893,0.00035726,0,-0.004357329,-0.002006707,-0.003996958,-0.007748465,0.002133693,0.002083684,-0.007503045,0.000370816,0.000925198,-0.002151828,-0.004117088,-0.000703152,-0.002291003,0,0,-0.003170979,-0.002514357,-0.00396825,0.000915228,-0.00077446,-0.002121,0.001911878,-0.003594364,0.026465003,0.00488721,-0.00589853,-0.012167289,-0.004225828,-0.000335128,0.016452781,-0.008200679,-0.006012675,0.00138307,0.015556939,-0.004624781,0.004862194,0,0,0.01978299,0,-0.007359699,-0.001564981,-0.000724654,0,0.002967427,0.000646157,-0.003827449,-0.004658418,-0.00381679,0.000967617,-0.009602675,0.003278633,0.011894209,-0.005050453,0.004268107,0.001404408,-0.000957571,-0.006302532,0.002865327,0.007798225,-0.002217023,-0.006743094,0.004446614,-0.002380916,0.007132627,0.001694344,-0.001842671,0.001733773,-0.00175039,-0.002543073,0.001987068,0.000565566,0.000596301,-0.001399302,0.000179479,-0.000347784,0.001551687,0.000560494,-0.003290014,0.000173584,-0.00306115,-0.008704775,0.001892192,-0.00096994,0,-0.001089978,-0.004433512,0.001389705,-0.010171357,-0.000288316,-0.005492707,-0.005464448,0.000462498,0.002322467,0.000483011,0,-0.000833005,-0.000724654,-0.013974523,-0.008006937,0.033015393,0.001189024,0,-0.006118854,-0.004395566
0.00730314,0,0,0.012064364,0.014295223,0.006459113,-0.018378387,-0.029702942,-0.012787692,-0.002221381,0.00585651,-0.002153721,0.005338108,-0.001445611,0.011553745,0,0.010701564,0.001246393,-0.007751931,0.010622108,0,0.00810181,0.012876803,0.015166796,0.009360391,0.006445732,0.010292554,-0.010273963,0,-0.058568816,0.013734185,0,-0.002499926,0.000983398,0.013858467,0.00469171,0.015280103,0.007808972,-0.002661489,0.010076793,0.010360621,0.006773585,0.003812758,0.009703884,0.023687182,0.001094541,0.005740587,0,0.00825956,0.012088111,0.008282302,0.013944257,0.011632148,0.010591575,0.004751153,0.010746206,0.008469334,-0.040515616,0.008105673,0.002373396,0.010392628,0.012391776,0.005698963,-0.004532191,0.01361871,0.007322494,0.016114198,-0.053308817,0.004130094,0.00080647,0,0,-0.022528139,-0.011976093,0.004633938,0,0.00362583,0,0.001479253,0.012592874,0.013575788,0.008190366,0.014367871,-0.001450023,0.01270482,-0.003267919,-0.00565952,0.005076089,0.013851801,-0.001870007,0.004632603,0.010570865,0.00285714,0.014146707,0.00825269,0.009164974,0.013280696,0.008114562,0.000708231,-0.001315586,0.012496449,-0.002307672,0.000547919,0.008228057,0.006279945,-0.001507178,-0.003973025,0.002101927,0.00341059,0.002261647,0.004475817,-0.00149367,0.007591971,0.010416686,0.007804362,0.012506583,-0.00245516,0.012621466,0.009184423,0.011517899,0.009071426,-0.002577311,0.017306684,0.009228542,0.007363994,0.011654961,0.011556073,0.004827181,0.003862957,0.011139767,0.012922029,0.00942713,0.021675718,0.019025652,0,0.004750678,0.009099216,0.010554079,0.008830014
0.009346608,0.000199742,-0.003553073,0.011920486,0,0.004083996,-0.025330346,-0.020408143,-0.007772034,-0.000371054,0,0.00035974,-0.000160935,-0.002533411,0,0,0.005490172,-0.003734446,-0.003906247,0.006006,0,0.019517823,0.003073501,0.005976137,0.006182424,-0.002744802,0.009651491,-0.001730143,0.001608971,-0.013314041,0.021603814,0,-0.000716123,0.000982244,0.005036018,0.008672374,0.007145048,0.004557853,-0.000444721,0.007996789,0.007212429,0.001238459,0.001381247,0.000246434,0.009386603,0.001015346,0.009132411,0,0,0.005406089,0.00857142,0.005893857,0.00567559,0.003834395,0.004479848,0.006955454,0.005132102,-0.015355072,0.005071792,0.003157061,0.007238115,0.008048282,0.003666687,-0.002276413,0.00527834,0.008533517,0.008608996,-0.011650444,0.009768567,-0.00080582,0,-0.005291042,-0.005761854,0,0.008302598,0.020376244,0.009393072,0.000194056,-0.002954207,0.007653054,0.003538018,0.008510611,0.009442817,0,0.010234416,0,0,0.008080724,0.008538975,0.002341955,0.010653554,-0.003486764,0.008547001,0.008158239,0.008972129,0.007399984,0.008029287,0.00757575,0.001415393,0.000752775,0.009396937,-0.000385514,0.005476527,0.010344845,0.002627689,0.000377399,0.00179497,0.004719518,0,0.005728139,0.006512446,-0.002430862,0.001310414,0.006013735,0.002539073,0.005650464,-0.000757321,0.004793799,0.005642544,0.00383555,0.007682278,-0.000993852,-0.000354429,0.007286703,0.002492134,0.005266681,0.00585745,-0.000768627,0.003848,0.002542377,0.004938306,0.007902274,0.005303923,0.006223514,0.011363626,0.008274205,0,0.007832911,0.004376398
-0.005452227,0.000199549,0.000198147,0.006544528,0,-0.001743101,0.013559309,0.006944438,0.002611026,0.000371192,-0.004366773,0.002517066,0.002574829,0.003628451,0,0,-0.006240244,-0.000416503,0,0.001492572,0,-0.011261328,-0.010306483,-0.007920784,-0.002560223,-0.011009165,-0.001593238,-0.003466201,0.001606462,0.008341515,-0.010035799,-0.005665691,0,0,-0.002147508,-0.00462965,0.003471749,0.002268543,0.000978915,-0.003456091,-0.00321506,-0.006820045,-0.007816096,-0.01042946,0.010488685,0.002652698,-0.003393671,0.01363635,-0.008777106,-0.009628664,-0.005311601,0,-0.00871621,-0.009167319,-0.008424186,-0.007795473,0.005724938,0.011695895,-0.009723088,0.001573525,-0.003025716,-0.005988034,-0.002324799,-0.00391137,-0.002386689,-0.00219366,-0.008535514,-0.004584194,-0.00356414,-0.007258,0.00108452,0.005319186,0.004507447,0,-0.002744802,-0.008704561,-0.004294948,-0.000194018,-0.007407436,-0.005696212,-0.010324851,-0.004602951,-0.009354484,0.004356199,-0.004901939,-0.003278711,0,-0.003005981,-0.008620652,-0.002336483,-0.000944011,-0.000699806,-0.005649712,-0.009643626,-0.005304246,-0.004674519,-0.011245157,-0.001879742,-0.007773828,-0.000188088,0.003751518,0.002121107,-0.002723349,-0.006825921,-0.004913965,0.002074697,0.002389005,-0.001739744,0,-0.004142174,-0.004937843,0.001874473,-0.010469463,-0.0083689,-0.006078303,-0.003397389,0.002463068,0.004634688,-0.011402734,-0.00871641,-0.004541826,0.001790653,-0.009218289,-0.006666602,-0.002320175,0.004092993,-0.009375161,-0.009615448,-0.009104002,-0.007889619,-0.00040951,-0.008553092,-0.002435043,-0.009277425,-0.025983138,-0.007034008,0,-0.006908456,-0.008714658
0.00826666,-0.000199509,-0.001188421,0.009102753,0,0.006402829,-0.022296522,-0.006896545,-0.006944521,-0.001855344,-0.001462022,-0.003228025,0.012841079,-0.0021692,0.003938574,0.014101006,0.00745685,0.009166638,0,-0.001490347,0,0.005694795,0.00365891,0.00598797,0.008726904,0.002782995,0.005851097,-0.005217428,-0.002004857,-0.033576577,0.018826884,0.011395948,-0.00107492,0,-0.001434684,0.008637931,0.005264718,0.007243081,-0.001778135,0.005438598,0.004764843,0.006395682,0.004054663,0.007800835,0.013590201,-0.002412245,0.006432087,0,0.004132275,0.006565711,0.009255971,0.009765662,0.006979428,0.006168123,0.005872079,0.00387866,-0.000615399,-0.01734107,0.004847121,0.009033836,0.004931683,0.010374879,0.006324854,0.007526226,0.008612455,0.009108069,0.010421366,-0.016447369,0.00868677,0.011372818,-0.002166793,0.005290958,-0.01089744,0,0.008256895,0.007747914,0.0071891,0.000388186,0.011940359,0.007956715,0.007124748,0.007707085,0.013219961,-0.004819249,0.007553298,0.009868412,-0.001751353,0.008040215,0.010869517,0.001405156,0.004881911,0.008403354,0.011363626,0.009017809,0.008783007,0.008050958,0.013387006,-0.001412462,0.001424534,-0.000188051,0.006229338,-0.002501464,0.007646066,0.008820122,0.009711929,-0.003387923,-0.001588849,0.004531204,0.001967686,0.005199271,0.005989082,-0.000374222,0.004794122,0.006372725,0.004331852,0.004457899,-0.002645934,0.001356953,0.006041777,0.006384019,0.009124971,-0.00317771,0.007157004,0.006996943,0.006146162,0.004239333,0.007754514,0,0.005802656,0.005396264,0.006145007,0.005032329,0.004068364,0.008229202,0,0.010625753,0,0.011304357,0.0058608
0.00500556,0.000199549,0,-0.00902064,0.014421518,0.004626947,-0.011402552,0.003472219,-0.006993,0.002973954,-0.002928255,0.002159008,-0.012044348,0.002536165,0,0.000386258,0.000389569,-0.001238595,0,0.001492572,0,0.005662548,-0.005047681,-0.001984077,0.006615831,0.003700274,0.007403458,0.001748292,0.001205331,0.042547799,0.008884151,0.002816954,0.004304172,0,0,0.004611287,-0.006883122,0.001797793,0.002315658,-0.005174005,-0.003477683,0.003311217,-0.001499911,0.003129128,-0.002428245,-0.000545959,0.004887186,0.017937203,0.002351502,-0.001505303,0.004585508,0.007736936,-0.002596479,-0.001277217,0.002484125,-0.000594463,-0.005695855,0.013725524,-0.002597391,0.003114049,0.003397514,0.005631006,0.007277579,0.011692065,0.011385188,0.004979765,-0.005829559,0.000334456,0.003039487,0.006425696,0,0,0.009721297,0,0.001819878,-0.002562847,0.004282617,0,0.005899699,-0.001578757,0.000505221,0.007648213,-0.008387624,0.000968555,0.004563217,0,0.004824588,0.007976085,-0.005683489,0.000935485,0.003917821,-0.011111101,0.008426958,0,0.004042304,0.003993361,-0.001870513,0,0.00142244,0.001316751,-0.008254329,0.002507737,0.00520327,0.004541859,0.00114116,0.001888489,0.000596776,-0.002081871,0.000714216,0.00241383,0.000340164,0,-0.00115165,-0.002567179,-0.001902831,-0.003263282,0.002842445,-0.003794173,0,-0.00191502,0.001776251,0.002590148,0.000355311,0.005388558,0.000660408,0.011527831,-0.002068531,0.00194179,-0.000480688,0,-0.006514652,-0.000715255,-0.002836293,-0.004503233,0.005767839,0.001168188,0,0.003439378,0.002185047
